,City,Lat,Lng,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,tilichiki,60.4667,166.1,RU,259.97,91,100,4.82,1649684697
1,buqayq,,,,,,,,
2,bluff,-46.6,168.3333,NZ,284.09,81,100,2.47,1649684698
3,fortuna,40.5982,-124.1573,US,280.18,93,100,7.72,1649684698
4,hofn,64.2539,-15.2082,IS,276.16,65,100,6.17,1649684699
5,punta arenas,-53.15,-70.9167,CL,280.16,93,100,1.03,1649684498
6,bredasdorp,-34.5322,20.0403,ZA,298.61,44,1,5.87,1649684699
7,zhezkazgan,47.8043,67.7144,KZ,289.14,29,75,2,1649684699
8,georgetown,5.4112,100.3354,MY,301.12,79,20,1.54,1649684698
9,ushuaia,-54.8,-68.3,AR,277.96,93,100,3.09,1649684412
10,taolanaro,,,,,,,,
11,eravur,7.7733,81.6095,LK,299.87,81,98,1.86,1649684700
12,cayenne,4.9333,-52.3333,GF,303.17,1,75,6.17,1649684700
13,hovd,48.0056,91.6419,MN,273.68,33,97,1.68,1649684701
14,sao filipe,14.8961,-24.4956,CV,295.57,71,32,6.39,1649684701
15,ape,57.5393,26.6929,LV,282.43,51,100,2.95,1649684702
16,fort nelson,58.8053,-122.7002,CA,260.92,61,75,5.66,1649684702
17,provideniya,64.3833,-173.3,RU,266.04,92,92,3.78,1649684702
18,dicabisagan,17.0818,122.4157,PH,298.65,89,99,1.95,1649684703
19,nome,64.5011,-165.4064,US,271.19,69,0,7.2,1649684703
20,busselton,-33.65,115.3333,AU,288.31,81,9,4.36,1649684704
21,susangerd,31.5608,48.1831,IR,308.55,6,0,1.93,1649684704
22,saint george,37.1041,-113.5841,US,279.48,22,0,0,1649684551
23,coquimbo,-29.9533,-71.3436,CL,286,94,75,4.12,1649684705
24,lakes entrance,-37.8811,147.981,AU,284.91,73,76,3.55,1649684705
25,cape town,-33.9258,18.4232,ZA,302.64,8,0,4.63,1649684519
26,atuona,-9.8,-139.0333,PF,299.18,78,26,7.61,1649684706
27,albany,42.6001,-73.9662,US,279.77,55,0,1.46,1649684706
28,amderma,,,,,,,,
29,petropavlovsk-kamchatskiy,53.0452,158.6483,RU,272.48,69,75,1,1649684653
30,rikitea,-23.1203,-134.9692,PF,299.21,73,2,8.9,1649684707
31,chagda,,,,,,,,
32,torbay,47.6666,-52.7314,CA,276.42,96,100,4.12,1649684707
33,inuvik,68.3499,-133.7218,CA,253.63,67,20,2.06,1649684708
34,arraial do cabo,-22.9661,-42.0278,BR,301.07,65,40,3.6,1649684708
35,ribeira grande,38.5167,-28.7,PT,289.37,82,75,8.23,1649684709
36,asau,46.4333,26.4,RO,282.75,48,100,4.26,1649684709
37,jamestown,42.097,-79.2353,US,281.32,43,0,5.14,1649684709
38,iqaluit,63.7506,-68.5145,CA,263,72,20,6.17,1649684710
39,meyungs,,,,,,,,
40,portland,45.5234,-122.6762,US,275.68,95,100,4.12,1649684697
41,jijiga,9.35,42.8,ET,296.27,50,86,3.62,1649684710
42,hobart,-42.8794,147.3294,AU,284.07,77,40,6.69,1649684698
43,mahebourg,-20.4081,57.7,MU,297.73,94,75,5.66,1649684711
44,mikhaylovka,50.06,43.2379,RU,294.14,51,11,6.06,1649684711
45,rio gallegos,-51.6226,-69.2181,AR,282.18,76,75,6.69,1649684711
46,kahului,20.8947,-156.47,US,297.16,81,100,3.58,1649684712
47,mar del plata,-38.0023,-57.5575,AR,291.53,100,100,5.14,1649684712
48,butaritari,3.0707,172.7902,KI,299.77,79,88,2.47,1649684713
49,pevek,69.7008,170.3133,RU,242.44,100,71,3.55,1649684713
